CHAIN_ID, CLIENT (STATUS), CONNECTION, CHANNEL, PORT, COUNTERPARTY_CHAIN, COUNTERPARTY_CLIENT, COUNTERPARTY_CONNECTION, COUNTERPARTY_CHANNEL, COUNTERPARTY_PORT
injective-1, 07-tendermint-174 (Expired), connection-159, channel-124, transfer, chihuahua-1, 07-tendermint-147, connection-95, channel-50, transfer
injective-1, 07-tendermint-175 (Expired), connection-160, channel-125, transfer, crypto-org-chain-mainnet-1, 07-tendermint-1169, connection-297, channel-70, transfer
injective-1, 07-tendermint-176 (Expired), connection-162, channel-126, transfer, desmos-mainnet, 07-tendermint-45, connection-27, channel-19, transfer
injective-1, 07-tendermint-177 (Expired), connection-163, channel-127, transfer, arkh, 07-tendermint-90, connection-80, channel-60, transfer
injective-1, 07-tendermint-179 (Expired), connection-164, channel-128, transfer, bostrom, 07-tendermint-77, connection-50, channel-42, transfer
injective-1, 07-tendermint-181 (Expired), connection-165, channel-129, transfer, cheqd-mainnet-1, 07-tendermint-73, connection-53, channel-29, transfer
injective-1, 07-tendermint-184 (Expired), connection-167, channel-131, transfer, irishub-1, 07-tendermint-107, connection-84, channel-49, transfer
injective-1, 07-tendermint-186 (Expired), connection-168, channel-132, transfer, jackal-1, 07-tendermint-21, connection-17, channel-16, transfer
injective-1, 07-tendermint-187 (Expired), connection-169, channel-133, transfer, juno-1, 07-tendermint-359, connection-357, channel-256, transfer
injective-1, 07-tendermint-189 (Expired), connection-171, channel-134, transfer, mars-1, 07-tendermint-28, connection-22, channel-17, transfer
injective-1, 07-tendermint-192 (Expired), connection-173, channel-135, transfer, teritori-1, 07-tendermint-57, connection-35, channel-28, transfer
injective-1, 07-tendermint-194 (Expired), connection-175, channel-136, transfer, odin-mainnet-freya, 07-tendermint-81, connection-64, channel-48, transfer
injective-1, 07-tendermint-197 (Expired), connection-182, channel-137, transfer, dimension_37-1, 07-tendermint-6, connection-12, channel-7, transfer
injective-1, 07-tendermint-201 (Expired), connection-184, channel-138, transfer, nois-1, 07-tendermint-13, connection-6, channel-17, transfer
injective-1, 07-tendermint-201 (Expired), connection-184, channel-140, wasm.inj1w9g3sk7lk8k0pdtctygupt6f3te7x4thvzz57a, nois-1, 07-tendermint-13, connection-6, channel-20, wasm.nois1acyc05v6fgcdgj88nmz2t40aex9nlnptqpwp5hf8hwg7rhce9uuqgqz5wp
injective-1, 07-tendermint-202 (Expired), connection-185, channel-141, transfer, centauri-1, 07-tendermint-33, connection-17, channel-10, transfer
injective-1, 07-tendermint-204 (Expired), connection-188, channel-142, transfer, centauri-1, 07-tendermint-84, connection-34, channel-21, transfer
injective-1, 07-tendermint-205 (Active), connection-189, channel-143, transfer, kava_2222-10, 07-tendermint-130, connection-166, channel-122, transfer
injective-1, 07-tendermint-206 (Expired), connection-190, channel-144, transfer, phoenix-1, 07-tendermint-318, connection-237, channel-208, transfer
injective-1, 07-tendermint-207 (Expired), connection-191, channel-145, transfer, centauri-1, 07-tendermint-123, connection-45, channel-29, transfer
injective-1, 07-tendermint-210 (Expired), connection-193, channel-146, transfer, noble-1, 07-tendermint-15, connection-24, channel-10, transfer
injective-1, 07-tendermint-211, connection-194, channel-160, icahost, Oraichain, 07-tendermint-105, connection-82, channel-149, icacontroller-orai1kwu560q8cswhwysm96us4la460x7gxkqsyda8v
injective-1, 07-tendermint-211, connection-194, channel-161, icahost, Oraichain, 07-tendermint-105, connection-82, channel-150, icacontroller-orai16vfx780ju7exgeur0ukq3yaryrzw4smsarsflf
injective-1, 07-tendermint-211, connection-194, channel-162, icahost, Oraichain, 07-tendermint-105, connection-82, channel-150, icacontroller-orai16vfx780ju7exgeur0ukq3yaryrzw4smsarsflf
injective-1, 07-tendermint-211, connection-194, channel-164, icahost, Oraichain, 07-tendermint-105, connection-82, channel-151, icacontroller-orai15yh8hy4em7cr3glkzvgdaf7g2s0h8f52xs6sw5
injective-1, 07-tendermint-211, connection-194, channel-166, icahost, Oraichain, 07-tendermint-105, connection-82, channel-153, icacontroller-orai1fs769wwkmjdxd8wk70qx3gaajnfmrwve7s5d5vy44mjv3efum09sp0m7nf
injective-1, 07-tendermint-211, connection-194, channel-167, icahost, Oraichain, 07-tendermint-105, connection-82, channel-154, icacontroller-orai15yh8hy4em7cr3glkzvgdaf7g2s0h8f52xs6sw5
injective-1, 07-tendermint-211 (Active), connection-194, channel-147, transfer, Oraichain, 07-tendermint-105, connection-82, channel-146, transfer
injective-1, 07-tendermint-211 (Active), connection-194, channel-160, icahost, Oraichain, 07-tendermint-105, connection-82, channel-149, icacontroller-orai1kwu560q8cswhwysm96us4la460x7gxkqsyda8v
injective-1, 07-tendermint-211 (Active), connection-194, channel-160, icahost, Oraichain, 07-tendermint-105, connection-82, channel-149, icacontroller-orai1kwu560q8cswhwysm96us4la460x7gxkqsyda8v
injective-1, 07-tendermint-211 (Active), connection-194, channel-161, icahost, Oraichain, 07-tendermint-105, connection-82, channel-150, icacontroller-orai16vfx780ju7exgeur0ukq3yaryrzw4smsarsflf
injective-1, 07-tendermint-211 (Active), connection-194, channel-161, icahost, Oraichain, 07-tendermint-105, connection-82, channel-150, icacontroller-orai16vfx780ju7exgeur0ukq3yaryrzw4smsarsflf
injective-1, 07-tendermint-211 (Active), connection-194, channel-162, icahost, Oraichain, 07-tendermint-105, connection-82, channel-150, icacontroller-orai16vfx780ju7exgeur0ukq3yaryrzw4smsarsflf
injective-1, 07-tendermint-211 (Active), connection-194, channel-163, icahost, Oraichain, 07-tendermint-105, connection-82, channel-151, icacontroller-orai15yh8hy4em7cr3glkzvgdaf7g2s0h8f52xs6sw5
injective-1, 07-tendermint-211 (Active), connection-194, channel-164, icahost, Oraichain, 07-tendermint-105, connection-82, channel-151, icacontroller-orai15yh8hy4em7cr3glkzvgdaf7g2s0h8f52xs6sw5
injective-1, 07-tendermint-211 (Active), connection-194, channel-165, icahost, Oraichain, 07-tendermint-105, connection-82, channel-152, icacontroller-orai1ld7eysttpaukj7hufmtrrkpqahc5shqau7x0s7p076xad2prhh7qj499pq
injective-1, 07-tendermint-211 (Active), connection-194, channel-166, icahost, Oraichain, 07-tendermint-105, connection-82, channel-153, icacontroller-orai1fs769wwkmjdxd8wk70qx3gaajnfmrwve7s5d5vy44mjv3efum09sp0m7nf
injective-1, 07-tendermint-211 (Active), connection-194, channel-166, icahost, Oraichain, 07-tendermint-105, connection-82, channel-153, icacontroller-orai1fs769wwkmjdxd8wk70qx3gaajnfmrwve7s5d5vy44mjv3efum09sp0m7nf
injective-1, 07-tendermint-211 (Active), connection-194, channel-167, icahost, Oraichain, 07-tendermint-105, connection-82, channel-154, icacontroller-orai15yh8hy4em7cr3glkzvgdaf7g2s0h8f52xs6sw5
injective-1, 07-tendermint-211 (Active), connection-194, channel-167, icahost, Oraichain, 07-tendermint-105, connection-82, channel-154, icacontroller-orai15yh8hy4em7cr3glkzvgdaf7g2s0h8f52xs6sw5
injective-1, 07-tendermint-211 (Active), connection-194, channel-168, icahost, Oraichain, 07-tendermint-105, connection-82, channel-154, icacontroller-orai15yh8hy4em7cr3glkzvgdaf7g2s0h8f52xs6sw5
injective-1, 07-tendermint-211 (Active), connection-194, channel-169, icahost, Oraichain, 07-tendermint-105, connection-82, channel-155, icacontroller-orai1ld7eysttpaukj7hufmtrrkpqahc5shqau7x0s7p076xad2prhh7qj499pq
injective-1, 07-tendermint-211 (Active), connection-194, channel-170, icahost, Oraichain, 07-tendermint-105, connection-82, channel-155, icacontroller-orai1ld7eysttpaukj7hufmtrrkpqahc5shqau7x0s7p076xad2prhh7qj499pq
injective-1, 07-tendermint-211 (Active), connection-194, channel-171, icahost, Oraichain, 07-tendermint-105, connection-82, channel-155, icacontroller-orai1ld7eysttpaukj7hufmtrrkpqahc5shqau7x0s7p076xad2prhh7qj499pq
injective-1, 07-tendermint-211 (Active), connection-194, channel-171, icahost, Oraichain, 07-tendermint-105, connection-82, channel-155, icacontroller-orai1ld7eysttpaukj7hufmtrrkpqahc5shqau7x0s7p076xad2prhh7qj499pq
injective-1, 07-tendermint-211 (Active), connection-194, channel-172, icahost, Oraichain, 07-tendermint-105, connection-82, channel-156, icacontroller-orai1acsk9fzrwdzpfed87acpdwpk3wq3dvhq09gclqrn9wpvxy2h5mssxrpymh
injective-1, 07-tendermint-211 (Active), connection-194, channel-172, icahost, Oraichain, 07-tendermint-105, connection-82, channel-156, icacontroller-orai1acsk9fzrwdzpfed87acpdwpk3wq3dvhq09gclqrn9wpvxy2h5mssxrpymh
injective-1, 07-tendermint-211 (Active), connection-194, channel-173, icahost, Oraichain, 07-tendermint-105, connection-82, channel-157, icacontroller-orai1pwp3dcymna763hpvzdy6sf8a7z7za9jhf3hk4tf06eduhdrzfq0qu69j92
injective-1, 07-tendermint-211 (Active), connection-194, channel-174, icahost, Oraichain, 07-tendermint-105, connection-82, channel-157, icacontroller-orai1pwp3dcymna763hpvzdy6sf8a7z7za9jhf3hk4tf06eduhdrzfq0qu69j92
